"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1509840000000,0.035,0.035,0.035,0.035,0,0,"direct","",1509840000,"2017-11-04"
1509926400000,0.035,0.035,0.035,0.035,0,0,"direct","",1509926400,"2017-11-05"
1510012800000,0.035,0.035,0.035,0.035,0,0,"direct","",1510012800,"2017-11-06"
1510099200000,0.035,0.035,0.035,0.035,0,0,"direct","",1510099200,"2017-11-07"
1510185600000,0.035,0.035,0.035,0.035,0,0,"direct","",1510185600,"2017-11-08"
1510272000000,0.035,0.035,0.035,0.035,0,0,"direct","",1510272000,"2017-11-09"
1510358400000,0.035,0.035,0.035,0.035,0,0,"direct","",1510358400,"2017-11-10"
1510444800000,0.04789,0.04789,0.04789,0.04789,20,0.9578,"direct","",1510444800,"2017-11-11"
1510531200000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510531200,"2017-11-12"
1510617600000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510617600,"2017-11-13"
1510704000000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510704000,"2017-11-14"
1510790400000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510790400,"2017-11-15"
1510876800000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510876800,"2017-11-16"
1510963200000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1510963200,"2017-11-17"
1511049600000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1511049600,"2017-11-18"
1511136000000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1511136000,"2017-11-19"
1511222400000,0.04789,0.04789,0.04789,0.04789,0,0,"direct","",1511222400,"2017-11-20"
1511308800000,0.03973,0.04789,0.038,0.04789,90,3.524,"direct","",1511308800,"2017-11-21"
1511395200000,0.0301,0.03973,0.0301,0.03973,236.06,7.105,"direct","",1511395200,"2017-11-22"
1511481600000,0.03798,0.03798,0.0301,0.0301,447.64,16.63,"direct","",1511481600,"2017-11-23"
1511568000000,0.037,0.03798,0.037,0.03798,126.98,4.698,"direct","",1511568000,"2017-11-24"
1511654400000,0.03699,0.037,0.0365,0.037,3474.22,128.46,"direct","",1511654400,"2017-11-25"
1511740800000,0.02714,0.03973,0.02714,0.03699,3858.79,125.96,"direct","",1511740800,"2017-11-26"
1511827200000,0.03999,0.03999,0.02714,0.02714,6471.51,257.15,"direct","",1511827200,"2017-11-27"
1511913600000,0.0517,0.0699,0.03999,0.03999,1700.33,111.25,"direct","",1511913600,"2017-11-28"
1512000000000,0.04,0.069,0.04,0.0517,43.33,2.572,"direct","",1512000000,"2017-11-29"
1512086400000,0.07,0.07,0.04,0.04,569.63,39.38,"direct","",1512086400,"2017-11-30"
1512172800000,0.05114,0.4398,0.05114,0.07,8159.75,564.07,"direct","",1512172800,"2017-12-01"
1512259200000,0.1199,0.125,0.05114,0.05114,2239.47,186.18,"direct","",1512259200,"2017-12-02"
1512345600000,0.08,0.08,0.07999,0.07999,2758.71,220.69,"direct","",1512345600,"2017-12-03"
1512432000000,0.08299,0.08299,0.075,0.08299,161.84,12.7,"direct","",1512432000,"2017-12-04"
1512518400000,0.078,0.08299,0.068,0.08299,662.68,47.13,"direct","",1512518400,"2017-12-05"
1512604800000,0.063,0.083,0.063,0.08297,285.63,22.82,"direct","",1512604800,"2017-12-06"
1512691200000,0.06005,0.07001,0.06005,0.063,354.83,22.68,"direct","",1512691200,"2017-12-07"
1512777600000,0.05131,0.08581,0.0513,0.0513,643.11,36.45,"direct","",1512777600,"2017-12-08"
1512864000000,0.06,0.06,0.05131,0.05131,1545.44,98.65,"direct","",1512864000,"2017-12-09"
1512950400000,0.069,0.0728,0.056,0.0728,294.8,18.84,"direct","",1512950400,"2017-12-10"
1513036800000,0.05706,0.0728,0.05706,0.069,712.49,50.89,"direct","",1513036800,"2017-12-11"
1513123200000,0.07978,0.07994,0.05706,0.05706,382.95,29.02,"direct","",1513123200,"2017-12-12"
1513209600000,0.07999,0.07999,0.07972,0.07972,225,17.94,"direct","",1513209600,"2017-12-13"
1513296000000,0.07213,0.13,0.07,0.09797,3390.73,287.68,"direct","",1513296000,"2017-12-14"
1513382400000,0.12,0.1297,0.07213,0.07213,336.25,41.65,"direct","",1513382400,"2017-12-15"
1513468800000,0.1698,0.1999,0.15,0.1999,6157.18,1062.04,"direct","",1513468800,"2017-12-16"
1513555200000,0.1995,0.1995,0.1698,0.1698,158.55,29.28,"direct","",1513555200,"2017-12-17"
1513641600000,0.19,0.2399,0.18,0.22,2249.56,440.66,"direct","",1513641600,"2017-12-18"
1513728000000,0.185,0.24,0.18,0.19,11864.76,2299.36,"direct","",1513728000,"2017-12-19"
1513814400000,0.1988,0.239,0.183,0.185,2649.89,558.24,"direct","",1513814400,"2017-12-20"
1513900800000,0.18,0.1988,0.125,0.1988,4926.18,851.48,"direct","",1513900800,"2017-12-21"
1513987200000,0.158,0.1835,0.1377,0.1377,496.18,79.36,"direct","",1513987200,"2017-12-22"
1514073600000,0.138,0.158,0.138,0.158,3601.69,503.14,"direct","",1514073600,"2017-12-23"
1514160000000,0.176,0.176,0.138,0.138,283.58,49.91,"direct","",1514160000,"2017-12-24"
1514246400000,0.1449,0.176,0.1449,0.176,1251.78,183.55,"direct","",1514246400,"2017-12-25"
1514332800000,0.1431,0.1431,0.1431,0.1431,1099.63,157.37,"direct","",1514332800,"2017-12-26"
1514419200000,0.1799,0.1799,0.1431,0.1431,5535.01,937.47,"direct","",1514419200,"2017-12-27"
1514505600000,0.1799,0.1799,0.1799,0.1799,0,0,"direct","",1514505600,"2017-12-28"
1514592000000,0.1606,0.1887,0.151,0.16,543.59,86.71,"direct","",1514592000,"2017-12-29"
1514678400000,0.1997,0.1997,0.175,0.175,2284.03,425.67,"direct","",1514678400,"2017-12-30"
1514764800000,0.2871,0.3026,0.27,0.27,2590.66,751.23,"direct","",1514764800,"2017-12-31"
1514851200000,0.2937,0.2937,0.2937,0.2937,2052.56,601.42,"direct","",1514851200,"2018-01-01"
