"time","timeDate","close","high","low","open","volumefrom","volumeto","ts"
1584748800000,"2020-03-20",0.00000212,0.00000243,0.00000191,0.00000204,243388818.7,488.52,
1584835200000,"2020-03-21",0.00000189,0.00000215,0.00000186,0.00000212,213195172.16,410.68,
1584921600000,"2020-03-22",0.00000237,0.00000262,0.0000018,0.00000189,312713660.36,713.94,
1585008000000,"2020-03-23",0.00000222,0.00000238,0.00000218,0.00000237,142365798.76,320,
1585094400000,"2020-03-24",0.00000224,0.00000237,0.00000206,0.00000222,142425369.06,314.76,
1585180800000,"2020-03-25",0.00000256,0.00000263,0.00000221,0.00000224,180811793.84,437.87,
1585267200000,"2020-03-26",0.00000235,0.00000264,0.00000234,0.00000256,142501004.61,352.78,
1585353600000,"2020-03-27",0.00000276,0.00000285,0.00000227,0.00000235,214827369.24,550.36,
1585440000000,"2020-03-28",0.0000028,0.00000322,0.00000265,0.00000276,305056994.1,899.77,
1585526400000,"2020-03-29",0.00000277,0.00000319,0.00000275,0.0000028,185136791.03,540.1,
1585612800000,"2020-03-30",0.00000277,0.00000291,0.00000273,0.00000277,101105345.25,282.66,
1585699200000,"2020-03-31",0.00000269,0.00000279,0.00000266,0.00000277,79232142.59,214.69,
1585785600000,"2020-04-01",0.00000261,0.0000027,0.00000249,0.00000269,83202119.2,216.49,
1585872000000,"2020-04-02",0.00000262,0.00000264,0.0000025,0.00000261,95087809.42,244.16,
1585958400000,"2020-04-03",0.00000242,0.00000263,0.00000236,0.00000262,113650339.23,286.75,
1586044800000,"2020-04-04",0.00000235,0.00000247,0.00000234,0.00000242,89878706.5,216.91,
1586131200000,"2020-04-05",0.00000237,0.00000242,0.00000231,0.00000235,80863672.93,190.92,
1586217600000,"2020-04-06",0.00000234,0.00000238,0.00000227,0.00000237,77627000.13,180.28,
1586304000000,"2020-04-07",0.00000234,0.00000236,0.00000227,0.00000234,58201350.83,134.74,
1586390400000,"2020-04-08",0.00000235,0.00000237,0.0000023,0.00000234,78152969.48,182.45,
1586476800000,"2020-04-09",0.0000023,0.0000024,0.00000222,0.00000235,74828332.64,171.96,
1586563200000,"2020-04-10",0.00000236,0.0000025,0.00000225,0.0000023,87773488.37,207.35,
1586649600000,"2020-04-11",0.00000235,0.00000247,0.00000233,0.00000236,94837522.65,226.43,
1586736000000,"2020-04-12",0.00000233,0.00000245,0.00000229,0.00000235,91501958.62,215.7,
1586822400000,"2020-04-13",0.00000236,0.00000239,0.00000232,0.00000233,58986825.82,139.58,
1586908800000,"2020-04-14",0.00000238,0.00000242,0.00000234,0.00000236,65834885.08,156.02,
1586995200000,"2020-04-15",0.00000234,0.00000239,0.00000233,0.00000238,63561127.83,149.63,
1587081600000,"2020-04-16",0.00000233,0.00000236,0.00000231,0.00000234,72055619.1,167.84,
1587168000000,"2020-04-17",0.00000233,0.00000235,0.00000231,0.00000233,76284524.94,177.84,
1587254400000,"2020-04-18",0.00000238,0.00000239,0.00000231,0.00000233,76287056.29,178.4,
1587340800000,"2020-04-19",0.0000024,0.00000253,0.00000238,0.00000238,100372230.61,245.85,
1587427200000,"2020-04-20",0.0000025,0.00000259,0.00000237,0.0000024,94684193.57,232.65,
1587513600000,"2020-04-21",0.00000251,0.00000259,0.00000246,0.0000025,114953850.9,290.1,
1587600000000,"2020-04-22",0.00000246,0.00000254,0.00000244,0.00000251,90840430.75,224.98,
1587686400000,"2020-04-23",0.00000257,0.00000267,0.00000245,0.00000246,108750693.25,280.37,
1587772800000,"2020-04-24",0.00000254,0.0000026,0.00000251,0.00000257,104090010.28,264.85,
1587859200000,"2020-04-25",0.0000025,0.00000256,0.00000245,0.00000254,69506227.19,174.17,
1587945600000,"2020-04-26",0.00000243,0.0000025,0.0000024,0.0000025,90755812.86,222.14,
1588032000000,"2020-04-27",0.00000246,0.00000247,0.0000024,0.00000243,75037871.32,182.64,
1588118400000,"2020-04-28",0.00000239,0.00000267,0.00000229,0.00000246,149670730.43,370.57,
1588204800000,"2020-04-29",0.0000024,0.00000248,0.00000228,0.00000239,102336008.09,242.94,
1588291200000,"2020-04-30",0.0000025,0.00000254,0.00000239,0.0000024,74110733.72,182.88,
1588377600000,"2020-05-01",0.0000024,0.00000251,0.00000237,0.0000025,60954136.65,148.31,
1588464000000,"2020-05-02",0.0000023,0.00000241,0.00000229,0.0000024,52716116.14,123.37,
1588550400000,"2020-05-03",0.0000023,0.00000231,0.00000219,0.0000023,69500325.72,156.7,
1588636800000,"2020-05-04",0.00000257,0.00000264,0.00000228,0.0000023,156945059.68,386.99,
1588723200000,"2020-05-05",0.00000263,0.00000276,0.00000249,0.00000257,189621904.88,500.36,
1588809600000,"2020-05-06",0.00000287,0.00000324,0.00000258,0.00000263,486754825.07,1420.22,
1588896000000,"2020-05-07",0.00000304,0.00000342,0.00000279,0.00000287,399923526.02,1197.84,
